face,demeanor,game,height,lightsaber,type
beard,menacing,chutes,63.36,blue,Jedi
clean,calm,clue,74.74,green,Sith
clean,calm,monopoly,70.38,red,Sith
beard,menacing,chutes,73.91,red,Sith
clean,calm,monopoly,65.25,red,Sith
clean,menacing,monopoly,80.7,red,Sith
clean,menacing,chutes,68.91,red,Sith
clean,calm,chutes,67.11,red,Sith
clean,menacing,monopoly,71.68,red,Sith
clean,calm,chutes,67.17,blue,Jedi
clean,calm,monopoly,69.97,red,Sith
beard,calm,monopoly,30.5,blue,Jedi
beard,calm,clue,68.6,red,Sith
beard,calm,monopoly,72.14,green,Jedi
clean,menacing,clue,69.18,red,Sith
clean,calm,chutes,70.02,red,Sith
beard,calm,chutes,51.66,red,Jedi
beard,calm,monopoly,62.57,blue,Jedi
beard,calm,chutes,71.66,green,Jedi
clean,calm,monopoly,72.13,red,Sith
beard,calm,clue,58.77,blue,Jedi
clean,menacing,monopoly,78.77,red,Sith
clean,menacing,chutes,63.01,red,Sith
clean,menacing,chutes,76.67,red,Sith
clean,menacing,chutes,66.6,red,Sith
clean,calm,chutes,75.98,blue,Jedi
clean,menacing,clue,72.63,green,Sith
clean,calm,monopoly,74.54,red,Sith
clean,menacing,chutes,69.57,red,Sith
beard,calm,monopoly,68.49,blue,Sith
clean,calm,clue,69.59,red,Sith
clean,calm,chutes,69.15,red,Sith
clean,calm,clue,66.6,blue,Jedi
clean,calm,monopoly,39.67,green,Jedi
beard,menacing,monopoly,79.54,green,Jedi
clean,calm,monopoly,72.78,red,Sith
beard,menacing,clue,72.82,green,Sith
clean,calm,clue,63.46,red,Sith
clean,calm,monopoly,65.81,red,Sith
beard,calm,monopoly,49.94,green,Jedi
clean,menacing,clue,74.47,red,Sith
clean,menacing,chutes,65.78,red,Sith
clean,calm,monopoly,72.7,red,Sith
beard,calm,monopoly,73.12,blue,Jedi
clean,menacing,monopoly,68.96,red,Sith
clean,menacing,monopoly,74.74,blue,Sith
clean,menacing,chutes,62.83,red,Sith
beard,calm,clue,59.48,red,Sith
beard,calm,monopoly,47.07,blue,Jedi
beard,calm,monopoly,84.15,blue,Jedi
beard,calm,chutes,45.58,blue,Jedi
clean,menacing,chutes,66.21,red,Sith
clean,calm,chutes,59.29,red,Sith
clean,calm,clue,77.99,blue,Sith
beard,menacing,chutes,62.97,blue,Jedi
beard,calm,monopoly,65.97,blue,Jedi
clean,menacing,monopoly,69.95,red,Sith
beard,calm,clue,51.4,blue,Jedi
beard,calm,monopoly,71.31,green,Jedi
clean,menacing,clue,68.64,green,Sith
clean,menacing,chutes,64.72,red,Sith
beard,menacing,clue,76.75,blue,Jedi
beard,menacing,monopoly,82.4,red,Sith
clean,calm,chutes,77.67,blue,Sith
clean,calm,monopoly,51.34,blue,Jedi
clean,menacing,chutes,50.69,green,Jedi
clean,calm,monopoly,71.66,red,Sith
clean,menacing,monopoly,71.3,red,Sith
clean,calm,monopoly,72.71,red,Sith
clean,menacing,chutes,71.43,red,Sith
clean,calm,monopoly,70.97,red,Sith
beard,calm,monopoly,77.58,red,Sith
beard,calm,monopoly,68.37,green,Jedi
beard,calm,monopoly,56.1,blue,Jedi
clean,calm,chutes,68.99,red,Sith
clean,menacing,chutes,55.41,blue,Jedi
clean,menacing,clue,67.27,red,Sith
clean,menacing,monopoly,71.69,red,Sith
beard,calm,clue,80.04,green,Jedi
beard,calm,clue,59.6,green,Jedi
beard,calm,clue,78.11,green,Jedi
beard,menacing,chutes,47.77,blue,Jedi
clean,calm,chutes,70.94,red,Sith
clean,menacing,clue,67.16,blue,Sith
beard,calm,chutes,67.56,blue,Jedi
beard,calm,clue,89.91,blue,Jedi
clean,calm,monopoly,76.17,green,Jedi
clean,calm,monopoly,75.01,red,Sith
clean,menacing,chutes,73.55,red,Sith
beard,calm,monopoly,54.65,green,Jedi
beard,calm,chutes,57.18,red,Jedi
beard,calm,monopoly,63.6,blue,Jedi
clean,calm,monopoly,66.96,blue,Sith
clean,menacing,monopoly,68.78,red,Sith
beard,menacing,clue,80.33,blue,Jedi
clean,menacing,monopoly,76.46,red,Sith
clean,calm,clue,72.56,red,Sith
clean,menacing,monopoly,62.9,blue,Sith
clean,calm,clue,68.19,red,Sith
clean,menacing,monopoly,67.1,red,Sith
beard,menacing,chutes,72.62,blue,Sith
clean,calm,clue,67.5,red,Sith
beard,calm,clue,52.16,green,Jedi
clean,menacing,monopoly,70.64,red,Sith
clean,calm,monopoly,73.22,red,Sith
clean,menacing,monopoly,70.23,red,Sith
beard,calm,chutes,80.72,green,Jedi
beard,calm,chutes,74.39,green,Jedi
clean,calm,monopoly,68.53,red,Sith
beard,calm,clue,82.49,blue,Jedi
beard,calm,chutes,54.73,green,Jedi
beard,calm,clue,66.02,green,Jedi
beard,calm,chutes,58.0,green,Jedi
clean,calm,chutes,73.16,green,Sith
beard,calm,clue,58.09,blue,Jedi
beard,calm,monopoly,84.06,blue,Jedi
beard,calm,monopoly,64.33,green,Jedi
beard,calm,clue,43.12,blue,Jedi
beard,calm,monopoly,64.4,blue,Jedi
clean,menacing,monopoly,69.57,red,Sith
clean,menacing,monopoly,75.45,red,Sith
beard,menacing,monopoly,59.26,blue,Jedi
beard,calm,clue,43.77,green,Jedi
beard,calm,chutes,71.96,green,Jedi
beard,menacing,monopoly,57.21,blue,Jedi
beard,calm,chutes,45.33,green,Jedi
clean,menacing,chutes,67.35,red,Sith
clean,calm,monopoly,74.6,red,Sith
clean,calm,chutes,70.71,red,Sith
beard,calm,chutes,83.17,blue,Jedi
clean,menacing,clue,73.14,red,Sith
beard,calm,chutes,45.18,green,Jedi
clean,calm,chutes,72.21,red,Sith
beard,calm,chutes,51.03,blue,Jedi
clean,menacing,clue,79.96,red,Sith
beard,calm,monopoly,52.44,green,Jedi
clean,calm,chutes,68.79,blue,Sith
clean,calm,monopoly,87.64,blue,Jedi
clean,menacing,monopoly,71.0,red,Sith
beard,calm,monopoly,36.15,blue,Jedi
beard,calm,clue,84.98,blue,Jedi
clean,calm,chutes,75.06,red,Sith
clean,menacing,chutes,67.28,red,Sith
clean,calm,chutes,68.95,green,Jedi
beard,calm,chutes,63.03,red,Sith
clean,calm,monopoly,65.79,red,Sith
beard,calm,monopoly,76.89,green,Jedi
beard,calm,monopoly,75.7,red,Sith
clean,calm,monopoly,56.38,blue,Jedi
clean,menacing,monopoly,66.48,blue,Sith
beard,calm,clue,78.54,green,Jedi
clean,calm,clue,64.23,red,Sith
clean,menacing,clue,74.13,red,Sith
beard,calm,chutes,60.54,green,Jedi
clean,menacing,clue,63.49,red,Sith
beard,calm,monopoly,63.66,blue,Jedi
beard,calm,chutes,66.56,blue,Jedi
beard,menacing,chutes,75.75,red,Sith
clean,menacing,chutes,71.84,blue,Sith
clean,menacing,clue,67.04,red,Sith
beard,calm,chutes,68.98,blue,Jedi
clean,calm,chutes,71.07,red,Sith
beard,calm,chutes,56.94,blue,Jedi
beard,calm,clue,68.23,green,Jedi
clean,calm,monopoly,62.08,green,Jedi
clean,menacing,monopoly,74.91,red,Sith
clean,calm,monopoly,63.04,red,Sith
clean,menacing,clue,73.6,red,Sith
clean,menacing,chutes,71.62,red,Sith
clean,calm,chutes,77.94,red,Sith
clean,calm,monopoly,64.54,red,Sith
beard,calm,chutes,68.67,green,Jedi
clean,calm,clue,67.33,blue,Sith
clean,calm,monopoly,72.59,blue,Sith
clean,menacing,clue,62.67,red,Sith
beard,calm,chutes,88.38,red,Jedi
beard,calm,clue,84.86,green,Jedi
clean,calm,monopoly,74.41,red,Sith
beard,menacing,monopoly,68.52,red,Sith
clean,menacing,monopoly,65.05,red,Sith
clean,calm,clue,80.62,blue,Jedi
clean,calm,monopoly,71.39,green,Jedi
clean,calm,monopoly,70.03,red,Sith
clean,menacing,monopoly,60.99,red,Sith
beard,calm,chutes,56.03,blue,Jedi
clean,calm,chutes,51.0,blue,Jedi
clean,calm,clue,69.31,red,Sith
beard,calm,clue,62.56,green,Jedi
clean,calm,clue,67.14,red,Sith
clean,calm,chutes,73.23,red,Sith
clean,menacing,monopoly,74.84,red,Sith
beard,calm,clue,79.21,blue,Jedi
beard,calm,chutes,70.59,blue,Jedi
clean,calm,clue,63.45,blue,Jedi
clean,calm,chutes,68.44,red,Sith
clean,menacing,monopoly,71.09,red,Sith
clean,calm,chutes,73.11,red,Sith
clean,calm,clue,43.66,blue,Jedi
beard,calm,monopoly,68.75,red,Sith
clean,calm,clue,72.97,red,Sith
clean,calm,chutes,71.72,blue,Sith
clean,menacing,chutes,72.67,red,Sith
clean,calm,chutes,66.49,red,Sith
clean,calm,monopoly,64.45,red,Sith
beard,calm,clue,88.44,blue,Jedi
clean,calm,chutes,79.35,red,Sith
clean,calm,monopoly,64.74,red,Sith
clean,menacing,chutes,72.85,red,Sith
clean,menacing,chutes,69.53,green,Sith
clean,calm,monopoly,69.01,red,Sith
clean,menacing,monopoly,63.13,red,Sith
clean,menacing,clue,72.84,red,Sith
clean,calm,monopoly,67.73,red,Sith
beard,calm,clue,66.18,blue,Jedi
clean,calm,chutes,71.61,red,Sith
clean,calm,monopoly,65.03,red,Sith
beard,calm,chutes,50.75,green,Jedi
beard,menacing,monopoly,75.56,red,Sith
beard,menacing,clue,67.73,green,Jedi
clean,calm,chutes,67.12,red,Sith
clean,menacing,clue,57.3,red,Sith
clean,calm,chutes,76.3,green,Sith
clean,menacing,clue,69.69,green,Sith
beard,calm,monopoly,47.58,red,Jedi
clean,menacing,monopoly,78.1,red,Sith
clean,calm,chutes,73.84,red,Sith
clean,calm,chutes,70.67,red,Sith
clean,menacing,monopoly,70.87,red,Sith
clean,menacing,clue,71.74,blue,Sith
clean,menacing,monopoly,71.84,blue,Sith
beard,calm,chutes,61.59,green,Jedi
clean,menacing,monopoly,62.03,red,Sith
clean,menacing,monopoly,66.93,red,Sith
beard,calm,clue,55.95,green,Jedi
clean,menacing,clue,81.3,red,Sith
beard,menacing,clue,61.85,blue,Jedi
beard,calm,monopoly,60.94,green,Jedi
beard,calm,monopoly,53.69,red,Jedi
clean,calm,chutes,73.01,red,Sith
clean,calm,clue,72.99,blue,Jedi
clean,calm,monopoly,65.03,red,Sith
beard,menacing,monopoly,54.37,green,Jedi
clean,menacing,monopoly,66.04,red,Sith
clean,calm,monopoly,62.08,blue,Jedi
clean,menacing,clue,74.15,red,Sith
clean,calm,chutes,66.95,red,Sith
beard,menacing,chutes,80.63,green,Jedi
clean,calm,monopoly,67.49,red,Sith
clean,calm,clue,70.74,green,Jedi
clean,calm,monopoly,67.88,red,Sith
beard,calm,monopoly,73.09,blue,Jedi
clean,calm,chutes,71.65,red,Sith
clean,calm,monopoly,70.59,red,Sith
clean,menacing,chutes,69.48,red,Sith
clean,calm,clue,74.64,red,Jedi
beard,calm,monopoly,74.29,red,Sith
beard,menacing,monopoly,75.21,red,Sith
beard,calm,monopoly,71.24,green,Jedi
clean,calm,monopoly,66.25,red,Sith
clean,menacing,clue,60.34,red,Sith
clean,calm,monopoly,71.02,green,Jedi
clean,calm,monopoly,71.3,red,Sith
beard,calm,monopoly,66.62,green,Jedi
clean,calm,chutes,71.6,red,Sith
clean,menacing,chutes,69.4,red,Sith
clean,menacing,monopoly,72.65,red,Sith
beard,calm,chutes,79.24,green,Jedi
beard,menacing,monopoly,58.96,red,Sith
beard,menacing,monopoly,51.55,red,Jedi
clean,menacing,monopoly,67.76,red,Sith
beard,calm,chutes,60.6,green,Jedi
beard,calm,chutes,87.83,red,Jedi
clean,calm,monopoly,68.49,red,Sith
beard,calm,clue,88.42,blue,Jedi
clean,menacing,monopoly,75.73,red,Sith
clean,calm,monopoly,71.46,red,Sith
clean,menacing,clue,67.18,green,Sith
clean,calm,chutes,68.04,red,Sith
beard,calm,chutes,80.85,blue,Jedi
beard,calm,monopoly,66.37,green,Jedi
clean,calm,monopoly,64.83,red,Sith
clean,calm,monopoly,67.19,red,Sith
clean,calm,chutes,71.92,blue,Jedi
clean,calm,clue,70.91,red,Sith
clean,menacing,monopoly,64.4,red,Sith
clean,menacing,clue,68.67,blue,Sith
beard,calm,clue,60.64,blue,Jedi
clean,calm,clue,67.81,red,Sith
clean,menacing,chutes,67.5,red,Sith
beard,calm,clue,64.34,red,Jedi
clean,calm,chutes,76.56,blue,Jedi
clean,menacing,clue,69.29,green,Sith
beard,calm,chutes,72.2,blue,Jedi
clean,calm,clue,66.56,red,Sith
clean,calm,monopoly,73.65,green,Jedi
beard,calm,monopoly,71.88,red,Sith
beard,calm,monopoly,90.19,blue,Jedi
beard,calm,clue,54.83,blue,Jedi
clean,menacing,chutes,64.51,red,Sith
beard,calm,clue,66.56,green,Jedi
clean,menacing,chutes,72.52,red,Sith
beard,calm,chutes,51.68,green,Jedi
clean,menacing,chutes,63.58,red,Sith
clean,calm,chutes,68.47,red,Sith
clean,calm,monopoly,67.74,red,Sith
clean,calm,clue,73.29,blue,Sith
beard,calm,clue,57.77,blue,Jedi
clean,menacing,chutes,74.93,red,Sith
beard,calm,monopoly,63.49,blue,Jedi
clean,calm,monopoly,68.71,green,Sith
clean,calm,chutes,59.52,green,Jedi
clean,menacing,clue,71.06,red,Sith
clean,calm,chutes,67.72,blue,Sith
clean,menacing,monopoly,63.83,red,Sith
clean,menacing,chutes,75.14,red,Sith
beard,calm,monopoly,73.66,red,Sith
clean,calm,monopoly,56.51,red,Sith
clean,menacing,monopoly,79.16,red,Sith
beard,menacing,chutes,65.18,green,Jedi
clean,menacing,monopoly,74.62,red,Sith
clean,calm,monopoly,45.43,green,Jedi
beard,calm,monopoly,62.33,green,Jedi
beard,calm,monopoly,79.15,green,Jedi
clean,calm,chutes,69.1,red,Sith
beard,calm,chutes,59.45,green,Jedi
clean,calm,chutes,68.6,red,Sith
clean,menacing,chutes,70.31,blue,Sith
beard,calm,chutes,63.85,green,Jedi
beard,calm,chutes,59.56,green,Jedi
beard,calm,chutes,73.8,green,Jedi
beard,menacing,clue,74.35,blue,Jedi
beard,calm,clue,57.33,blue,Jedi
beard,calm,monopoly,57.14,blue,Jedi
clean,calm,monopoly,60.82,green,Jedi
clean,calm,clue,67.52,red,Sith
beard,calm,monopoly,52.12,green,Jedi
clean,menacing,clue,65.41,red,Sith
beard,calm,clue,71.8,green,Jedi
clean,menacing,monopoly,71.35,red,Sith
clean,menacing,monopoly,74.57,red,Sith
clean,calm,chutes,83.51,blue,Jedi
beard,calm,chutes,54.22,blue,Jedi
beard,menacing,monopoly,48.22,green,Jedi
clean,calm,monopoly,72.91,red,Sith
clean,calm,monopoly,72.33,red,Sith
clean,calm,clue,68.41,red,Sith
beard,calm,chutes,65.2,blue,Jedi
clean,menacing,chutes,64.93,red,Sith
beard,calm,chutes,37.26,green,Jedi
clean,calm,chutes,65.28,red,Sith
clean,menacing,clue,74.84,red,Sith
clean,calm,clue,64.76,red,Sith
clean,menacing,monopoly,74.33,blue,Sith
clean,menacing,clue,62.49,red,Sith
beard,menacing,monopoly,66.14,blue,Sith
beard,calm,clue,40.54,blue,Jedi
beard,menacing,chutes,42.63,blue,Jedi
clean,calm,clue,71.7,red,Sith
clean,calm,clue,67.38,red,Sith
beard,calm,monopoly,63.5,blue,Jedi
clean,calm,clue,67.62,blue,Sith
clean,calm,clue,65.26,blue,Jedi
beard,calm,monopoly,67.27,green,Jedi
clean,calm,monopoly,67.55,red,Sith
beard,calm,monopoly,62.92,blue,Jedi
beard,calm,monopoly,61.68,blue,Jedi
beard,calm,monopoly,61.83,blue,Jedi
clean,calm,chutes,55.16,red,Jedi
beard,calm,clue,36.06,blue,Jedi
beard,menacing,chutes,41.24,green,Jedi
beard,calm,clue,64.15,red,Sith
clean,calm,monopoly,69.87,red,Jedi
clean,calm,clue,70.11,red,Sith
beard,calm,chutes,55.37,blue,Jedi
clean,calm,chutes,72.32,red,Sith
beard,calm,monopoly,52.95,blue,Jedi
clean,calm,chutes,64.91,blue,Jedi
beard,calm,monopoly,58.96,green,Jedi
beard,calm,monopoly,53.06,blue,Jedi
clean,calm,clue,63.96,red,Sith
clean,calm,chutes,73.04,red,Sith
clean,menacing,clue,64.56,red,Sith
beard,calm,clue,64.41,red,Sith
clean,calm,monopoly,74.36,blue,Sith
beard,calm,monopoly,63.81,blue,Jedi
clean,calm,chutes,73.55,red,Sith
beard,calm,chutes,65.82,green,Jedi
clean,calm,monopoly,60.39,red,Sith
clean,calm,chutes,73.94,blue,Sith
clean,calm,monopoly,70.68,blue,Sith
clean,menacing,monopoly,67.06,red,Sith
beard,calm,chutes,76.32,red,Sith
beard,calm,monopoly,55.29,green,Jedi
beard,calm,monopoly,63.96,blue,Jedi
clean,menacing,monopoly,64.92,red,Sith
clean,menacing,monopoly,75.57,red,Sith
beard,calm,clue,62.07,blue,Jedi
clean,calm,monopoly,70.63,blue,Sith
clean,menacing,monopoly,68.09,red,Sith
clean,calm,chutes,65.21,red,Sith
beard,calm,chutes,72.11,blue,Jedi
clean,menacing,clue,62.89,blue,Sith
clean,menacing,monopoly,72.13,red,Sith
clean,menacing,monopoly,73.99,red,Sith
clean,calm,clue,72.8,red,Sith
beard,calm,monopoly,58.73,red,Jedi
clean,menacing,monopoly,87.81,blue,Jedi
clean,menacing,monopoly,68.02,red,Sith
beard,calm,clue,66.53,blue,Jedi
beard,calm,monopoly,49.57,blue,Jedi
clean,calm,monopoly,46.22,blue,Jedi
clean,calm,monopoly,45.65,green,Jedi
clean,calm,monopoly,47.42,red,Jedi
clean,menacing,monopoly,70.49,red,Sith
beard,calm,chutes,46.61,green,Jedi
clean,calm,clue,66.72,red,Sith
clean,menacing,monopoly,66.03,red,Sith
beard,calm,chutes,46.86,blue,Jedi
beard,calm,chutes,59.84,green,Jedi
beard,calm,monopoly,63.37,green,Jedi
beard,calm,chutes,70.84,blue,Jedi
clean,menacing,chutes,67.33,red,Sith
clean,calm,chutes,72.35,red,Sith
beard,menacing,monopoly,70.26,blue,Jedi
clean,calm,monopoly,71.42,green,Sith
beard,calm,monopoly,88.38,green,Jedi
clean,calm,chutes,61.68,green,Jedi
beard,calm,monopoly,70.35,green,Jedi
clean,menacing,chutes,69.11,blue,Sith
beard,calm,clue,71.35,blue,Jedi
clean,calm,chutes,59.78,green,Jedi
beard,menacing,monopoly,59.19,green,Jedi
clean,menacing,clue,71.06,red,Sith
beard,calm,chutes,72.61,blue,Jedi
clean,menacing,chutes,65.32,red,Sith
clean,calm,chutes,76.9,red,Sith
clean,calm,monopoly,69.22,red,Sith
clean,menacing,chutes,71.12,blue,Sith
clean,calm,clue,68.89,red,Sith
clean,menacing,clue,74.09,red,Sith
clean,menacing,monopoly,76.02,red,Sith
clean,calm,clue,73.05,red,Sith
beard,calm,monopoly,77.97,blue,Jedi
clean,calm,monopoly,76.73,red,Jedi
clean,menacing,clue,68.53,red,Sith
clean,menacing,clue,75.16,green,Sith
beard,calm,clue,71.57,blue,Jedi
clean,menacing,chutes,70.79,red,Sith
clean,calm,chutes,70.82,red,Sith
beard,calm,clue,56.43,green,Jedi
clean,menacing,monopoly,68.04,red,Sith
beard,calm,monopoly,46.12,green,Jedi
clean,calm,chutes,74.44,red,Sith
clean,menacing,clue,69.19,red,Sith
clean,menacing,monopoly,72.53,red,Sith
beard,menacing,chutes,59.81,red,Jedi
beard,calm,monopoly,67.51,green,Jedi
clean,menacing,chutes,66.18,red,Sith
beard,menacing,monopoly,58.74,green,Jedi
clean,menacing,clue,79.83,red,Sith
clean,calm,monopoly,66.34,red,Sith
clean,calm,chutes,65.14,red,Sith
beard,calm,monopoly,62.89,blue,Jedi
clean,menacing,monopoly,68.09,red,Sith
beard,calm,chutes,51.92,blue,Jedi
clean,menacing,chutes,70.8,red,Sith
beard,calm,chutes,84.77,green,Jedi
beard,calm,monopoly,73.98,red,Sith
beard,menacing,chutes,67.43,red,Sith
beard,calm,clue,69.03,red,Sith
beard,calm,monopoly,50.17,blue,Jedi
beard,calm,chutes,60.87,green,Jedi
clean,calm,monopoly,67.48,blue,Sith
clean,menacing,chutes,74.38,green,Sith
beard,menacing,monopoly,75.98,red,Sith
clean,calm,monopoly,66.6,red,Sith
beard,calm,clue,62.39,green,Jedi
clean,menacing,chutes,72.76,red,Sith
beard,calm,monopoly,67.6,blue,Jedi
beard,calm,chutes,51.29,blue,Jedi
clean,calm,monopoly,73.53,red,Sith
beard,menacing,clue,62.38,blue,Jedi
clean,menacing,clue,67.25,red,Sith
beard,calm,clue,59.27,blue,Jedi
beard,calm,chutes,71.54,blue,Jedi
beard,menacing,clue,72.51,red,Sith
clean,menacing,monopoly,70.12,red,Sith
clean,menacing,monopoly,65.14,red,Sith
clean,menacing,monopoly,79.75,red,Sith
clean,menacing,monopoly,66.9,blue,Sith
beard,menacing,monopoly,67.52,red,Sith
beard,calm,monopoly,49.64,green,Jedi
clean,calm,chutes,72.47,red,Sith
clean,calm,chutes,84.59,red,Sith
clean,calm,monopoly,72.79,red,Sith
beard,calm,chutes,55.4,blue,Jedi
clean,calm,clue,70.41,red,Sith
beard,calm,clue,70.66,blue,Jedi
clean,menacing,chutes,63.98,red,Sith
beard,calm,chutes,60.64,green,Jedi
clean,menacing,chutes,68.53,red,Sith
beard,calm,chutes,58.72,blue,Jedi
beard,menacing,monopoly,63.49,red,Jedi
clean,calm,clue,68.58,red,Sith
beard,calm,chutes,67.57,blue,Jedi
clean,calm,clue,69.59,red,Sith
beard,calm,monopoly,77.63,green,Jedi
clean,calm,monopoly,70.03,red,Sith
clean,calm,clue,76.11,red,Sith
clean,menacing,chutes,67.55,green,Sith
clean,calm,chutes,55.99,blue,Jedi
beard,menacing,clue,62.09,blue,Jedi
clean,calm,chutes,73.56,red,Sith
clean,calm,clue,71.56,red,Sith
clean,calm,chutes,77.27,red,Sith
clean,menacing,monopoly,71.0,red,Sith
clean,calm,monopoly,70.28,red,Sith
clean,calm,clue,64.05,red,Sith
clean,menacing,clue,73.0,blue,Sith
clean,calm,monopoly,67.46,red,Sith
clean,calm,chutes,72.28,green,Jedi
clean,menacing,chutes,74.25,red,Sith
clean,menacing,chutes,71.5,red,Sith
beard,calm,chutes,44.35,blue,Jedi
beard,calm,monopoly,60.82,green,Jedi
clean,calm,monopoly,75.57,red,Sith
beard,calm,monopoly,88.13,green,Jedi
clean,calm,chutes,70.7,green,Sith
clean,calm,chutes,60.94,red,Jedi
clean,menacing,chutes,74.12,red,Sith
clean,calm,clue,78.2,red,Sith
clean,calm,chutes,55.42,blue,Jedi
clean,menacing,monopoly,66.48,red,Sith
beard,calm,chutes,67.72,red,Sith
clean,calm,clue,69.98,red,Sith
clean,menacing,clue,67.82,red,Sith
clean,menacing,chutes,74.2,red,Sith
clean,calm,clue,72.01,red,Sith
beard,calm,chutes,88.53,blue,Jedi
clean,calm,monopoly,69.27,red,Sith
clean,calm,monopoly,67.48,green,Jedi
clean,calm,monopoly,61.08,red,Sith
clean,menacing,clue,71.77,red,Sith
clean,menacing,monopoly,74.41,red,Sith
beard,calm,clue,44.27,blue,Jedi
clean,menacing,clue,67.44,red,Sith
clean,menacing,chutes,74.51,red,Sith
beard,calm,monopoly,63.08,green,Jedi
beard,calm,clue,57.53,green,Jedi
clean,menacing,monopoly,66.95,red,Sith
clean,menacing,clue,69.17,red,Sith
clean,menacing,chutes,68.92,blue,Sith
clean,calm,clue,69.68,red,Sith
clean,calm,chutes,82.98,blue,Jedi
clean,calm,chutes,76.6,red,Sith
clean,menacing,monopoly,71.77,red,Sith
beard,calm,monopoly,51.1,blue,Jedi
clean,menacing,monopoly,74.42,red,Sith
beard,calm,chutes,102.27,green,Jedi
clean,calm,chutes,71.17,red,Sith
beard,calm,chutes,83.67,blue,Jedi
clean,menacing,monopoly,65.71,green,Sith
beard,calm,monopoly,24.56,blue,Jedi
beard,calm,chutes,61.71,blue,Jedi
beard,calm,monopoly,75.22,blue,Jedi
beard,calm,monopoly,71.7,blue,Jedi
clean,calm,chutes,55.73,blue,Jedi
clean,calm,monopoly,63.97,red,Sith
beard,menacing,monopoly,65.43,red,Sith
clean,calm,clue,64.64,red,Sith
clean,calm,monopoly,70.85,red,Sith
clean,menacing,clue,70.45,red,Sith
beard,calm,clue,81.75,blue,Jedi
clean,menacing,monopoly,66.6,red,Sith
clean,calm,clue,68.97,red,Sith
beard,calm,monopoly,61.74,green,Jedi
beard,calm,monopoly,35.31,blue,Jedi
clean,calm,monopoly,71.3,blue,Jedi
beard,calm,clue,84.23,blue,Jedi
clean,menacing,chutes,74.69,red,Sith
beard,menacing,clue,65.44,red,Sith
beard,calm,chutes,65.29,green,Jedi
beard,calm,clue,69.34,green,Jedi
beard,calm,monopoly,78.11,green,Jedi
clean,calm,chutes,76.14,red,Sith
beard,menacing,monopoly,86.95,red,Sith
beard,calm,monopoly,59.06,red,Jedi
beard,calm,chutes,73.05,blue,Jedi
clean,menacing,clue,65.66,red,Sith
clean,calm,chutes,67.59,red,Sith
clean,calm,chutes,52.18,blue,Jedi
beard,calm,clue,67.48,green,Jedi
clean,calm,monopoly,69.33,green,Sith
beard,calm,chutes,82.15,blue,Jedi
clean,calm,monopoly,65.13,red,Sith
beard,calm,clue,50.37,green,Jedi
beard,calm,clue,70.85,red,Sith
beard,menacing,chutes,66.86,red,Sith
clean,calm,clue,56.87,green,Jedi
clean,menacing,monopoly,65.1,red,Sith
clean,calm,chutes,65.99,green,Sith
clean,calm,chutes,69.59,red,Sith
clean,menacing,monopoly,77.02,red,Sith
beard,menacing,clue,77.37,red,Sith
clean,menacing,monopoly,73.02,red,Sith
clean,calm,monopoly,74.16,green,Jedi
clean,menacing,clue,72.02,green,Sith
clean,calm,clue,71.8,red,Sith
clean,menacing,chutes,73.94,red,Sith
clean,menacing,clue,64.54,red,Sith
clean,menacing,clue,61.35,red,Sith
beard,calm,chutes,66.53,red,Sith
clean,calm,monopoly,71.6,red,Sith
beard,menacing,monopoly,46.56,green,Jedi
clean,menacing,monopoly,70.02,blue,Sith
beard,calm,clue,63.85,red,Sith
beard,menacing,chutes,62.22,green,Jedi
clean,calm,monopoly,64.58,red,Sith
beard,menacing,clue,91.33,blue,Jedi
clean,calm,chutes,70.32,blue,Sith
beard,menacing,monopoly,68.82,red,Sith
beard,calm,monopoly,61.89,green,Jedi
beard,calm,monopoly,71.81,blue,Jedi
clean,menacing,monopoly,71.19,red,Sith
beard,calm,monopoly,37.47,blue,Jedi
clean,calm,monopoly,64.31,red,Sith
beard,calm,clue,32.4,green,Jedi
clean,calm,chutes,89.13,blue,Jedi
clean,calm,monopoly,65.31,red,Sith
beard,calm,monopoly,57.81,green,Jedi
clean,calm,monopoly,65.82,red,Sith
clean,calm,clue,71.03,red,Sith
beard,menacing,clue,67.89,green,Jedi
clean,menacing,monopoly,80.55,red,Sith
beard,menacing,monopoly,68.18,green,Jedi
clean,calm,monopoly,75.58,red,Sith
beard,calm,monopoly,74.89,blue,Jedi
beard,calm,chutes,61.58,blue,Jedi
clean,calm,clue,57.11,green,Jedi
beard,calm,clue,89.49,green,Jedi
clean,menacing,chutes,70.93,red,Sith
clean,calm,clue,65.01,red,Sith
clean,calm,chutes,62.56,blue,Jedi
clean,calm,monopoly,75.97,red,Sith
clean,calm,chutes,53.53,blue,Sith
clean,menacing,monopoly,74.32,red,Sith
clean,calm,chutes,64.87,red,Sith
clean,calm,chutes,67.37,red,Sith
clean,menacing,chutes,66.44,red,Sith
beard,calm,clue,27.95,blue,Jedi
clean,menacing,monopoly,68.04,red,Sith
beard,menacing,monopoly,64.13,blue,Sith
clean,calm,chutes,80.05,green,Jedi
clean,menacing,monopoly,69.93,red,Sith
beard,calm,monopoly,65.06,blue,Jedi
clean,calm,monopoly,64.33,red,Sith
clean,menacing,monopoly,68.9,red,Sith
beard,calm,monopoly,56.88,blue,Jedi
beard,calm,chutes,61.24,blue,Jedi
